Verified,Title,Description,Source,Hazard,Incident on,Province,District,Municipality,Ward,Total estimated loss (NPR),Agriculture economic loss (NPR),Infrastructure economic loss (NPR),Total infrastructure destroyed,House destroyed,House affected,Total livestock destroyed,Total - People Death,Male - People Death,Female - People Death,Unknown - People Death,Disabled - People Death,Total - People Missing,Male - People Missing,Female - People Missing,Unknown - People Missing,Disabled - People Missing,Total - People Injured,Male - People Injured,Female - People Injured,Unknown - People Injured,Disabled - People Injured,date,search_str,latitude,longitude
Yes,Landslide at Chhathar Rural Municipality-2,,nepal_police,Landslide,2022-11-06,Koshi,Terhathum,Chhathar,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-11-06,"Chhathar, Terhathum, Nepal",27.035690000000045,87.48387000000008
Yes,"Landslide at Chilinkha, Bigu Rural Municipality-5",,nepal_police,Landslide,2022-11-04,Bagmati,Dolakha,Bigu,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2022-11-04,"Bigu, Dolakha, Nepal",27.95366000000007,86.20476000000008
Yes,"Landslide at Nepalitole, Tribeni Municipality-8",,nepal_police,Landslide,2022-10-12,Sudurpashchim,Bajura,Tribeni,8,,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-12,"Tribeni, Bajura, Nepal",29.33594000000005,81.43072000000006
Yes,Landslide at Mahawai Rural Municipality-3,,nepal_police,Landslide,2022-10-12,Karnali,Kalikot,Mahawai,3,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-12,"Mahawai, Kalikot, Nepal",29.04137000000003,81.85773000000006
Yes,"Landslide at Dayaune, Binayee Tribeni Rural Municipality-2",,nepal_police,Landslide,2022-10-12,Gandaki,Nawalparasi East,Binayee Tribeni,2,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-12,"Binayee Tribeni, Nawalparasi East, Nepal",27.630790000000047,83.86238000000003
Yes,"Landslide at bhuwa, Budhinanda Municipality-3",,nepal_police,Landslide,2022-10-12,Sudurpashchim,Bajura,Budhinanda,3,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-12,"Budhinanda, Bajura, Nepal",29.538280000000043,81.61780000000005
Yes,Landslide at Gaumul Rural Municipality-1,,nepal_police,Landslide,2022-10-11,Sudurpashchim,Bajura,Gaumul,1,,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-11,"Gaumul, Bajura, Nepal",29.56923000000006,81.48293000000007
Yes,"Landslide at Chhapre, Tilagufa Municipality-7",,nepal_police,Landslide,2022-10-11,Karnali,Kalikot,Tilagufa,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2022-10-11,"Tilagufa, Kalikot, Nepal",29.146120000000053,81.85448000000008
Yes,"Landslide at Kabhripatali , Jagannath Rural Municipality-6",,nepal_police,Landslide,2022-10-11,Sudurpashchim,Bajura,Jagannath,6,,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-11,"Jagannath, Bajura, Nepal",28.373320000000035,83.53203000000008
Yes,"Landslide at kawadi, Himali Rural Municipality-5",,nepal_police,Landslide,2022-10-11,Sudurpashchim,Bajura,Himali,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-11,"Himali, Bajura, Nepal",29.71252000000004,81.61904000000004
Yes,"Landslide at Syalkatyaya, Budhiganga Municipality-7",,nepal_police,Landslide,2022-10-11,Sudurpashchim,Bajura,Budhiganga,7,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-11,"Budhiganga, Bajura, Nepal",29.360340000000065,81.32408000000004
Yes,"Landslide at Malaikhola, Babai Rural Municipality-7",,nepal_police,Landslide,2022-10-11,Lumbini,Dang,Babai,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2022-10-11,"Babai, Dang, Nepal",28.16829000000007,82.08431000000007
Yes,"Landslide at Tolipani, Dullu Municipality-6",,nepal_police,Landslide,2022-10-11,Karnali,Dailekh,Dullu,6,,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-11,"Dullu, Dailekh, Nepal",28.834110000000067,81.61001000000005
Yes,"Landslide at Shristhan, Bhairabi Rural Municipality-1",,nepal_police,Landslide,2022-10-10,Karnali,Dailekh,Bhairabi,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-10,"Bhairabi, Dailekh, Nepal",28.945840000000032,81.63676000000004
Yes,"Landslide at Salim, Chhayanath Rara Municipality-11",,nepal_police,Landslide,2022-10-10,Karnali,Mugu,Chhayanath Rara,11,,0,0,130,130,79,0,8,4,4,0,0,0,0,0,0,0,5,0,5,0,0,2022-10-10,"Chhayanath Rara, Mugu, Nepal",29.533970000000068,82.15771000000007
Yes,"Landslide at Jogimare, Sandhikharka Municipality-11",,nepal_police,Landslide,2022-10-10,Lumbini,Arghakhanchi,Sandhikharka,11,,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-10,"Sandhikharka, Arghakhanchi, Nepal",27.965960000000052,83.15486000000004
Yes,"Landslide at Dhadakot, Jagannath Rural Municipality-1",,nepal_police,Landslide,2022-10-10,Sudurpashchim,Bajura,Jagannath,1,,0,0,5,5,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2022-10-10,"Jagannath, Bajura, Nepal",28.373320000000035,83.53203000000008
Yes,"Landslide at Dhalebaj, Aathabis Municipality-8",,nepal_police,Landslide,2022-10-10,Karnali,Dailekh,Aathabis,8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-10,"Aathabis, Dailekh, Nepal",28.844340000000045,81.71011000000004
Yes,"Landslide at Phaita, Swami Kartik Rural Municipality-4",,nepal_police,Landslide,2022-10-10,Sudurpashchim,Bajura,Swami Kartik,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-10,"Swami Kartik, Bajura, Nepal",29.427170000000046,81.75914000000006
Yes,"Landslide at Athkhola, Purchaudi Municipality-9",,nepal_police,Landslide,2022-10-10,Sudurpashchim,Baitadi,Purchaudi,9,,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-10,"Purchaudi, Baitadi, Nepal",29.60326000000003,80.70177000000007
Yes,Landslide at Tilagufa Municipality-11,,nepal_police,Landslide,2022-10-10,Karnali,Kalikot,Tilagufa,11,,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-10,"Tilagufa, Kalikot, Nepal",29.146120000000053,81.85448000000008
Yes,"Flood at Kalika Mandir, Bhajani Municipality-8",,nepal_police,Flood,2022-10-10,Sudurpashchim,Kailali,Bhajani,8,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-10,"Bhajani, Kailali, Nepal",28.52027000000004,80.96565000000004
Yes,"Flood at Baguwakhola, Barah Municipality-1",,nepal_police,Flood,2022-10-10,Koshi,Sunsari,Barah,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-10,"Barah, Sunsari, Nepal",26.75279000000006,87.15755000000007
Yes,"Flood at Thirpu, Palata Rural Municipality-9",,nepal_police,Flood,2022-10-09,Karnali,Kalikot,Palata,9,,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-09,"Palata, Kalikot, Nepal",29.33922000000007,81.84204000000005
Yes,"Landslide at Baligaun, Tilagufa Municipality-7",,nepal_police,Landslide,2022-10-09,Karnali,Kalikot,Tilagufa,7,,0,0,2,2,44,16,4,3,1,0,0,2,0,0,2,0,0,0,0,0,0,2022-10-09,"Tilagufa, Kalikot, Nepal",29.146120000000053,81.85448000000008
Yes,"Landslide at Bhaisegoda, Tilagufa Municipality-6",,nepal_police,Landslide,2022-10-09,Karnali,Kalikot,Tilagufa,6,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2022-10-09,"Tilagufa, Kalikot, Nepal",29.146120000000053,81.85448000000008
Yes,"Landslide at Kusunde, Sworgadwary Municipality-1",,nepal_police,Landslide,2022-10-09,Lumbini,Pyuthan,Sworgadwary,1,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-09,"Sworgadwary, Pyuthan, Nepal",28.13282000000004,82.69597000000005
Yes,"Flood at PULCHOK, Tilagufa Municipality-1",,nepal_police,Flood,2022-10-09,Karnali,Kalikot,Tilagufa,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-09,"Tilagufa, Kalikot, Nepal",29.146120000000053,81.85448000000008
Yes,"Landslide at Mumra, Sanni Tribeni Rural Municipality-8",,nepal_police,Landslide,2022-10-09,Karnali,Kalikot,Sanni Tribeni,8,,0,0,142,142,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,2022-10-09,"Sanni Tribeni, Kalikot, Nepal",29.26276000000007,81.58511000000004
Yes,"Landslide at Puranobaspark, Khandachakra Municipality-1",,nepal_police,Landslide,2022-10-09,Karnali,Kalikot,Khandachakra,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-09,"Khandachakra, Kalikot, Nepal",29.158830000000023,81.66961000000003
Yes,"Flood at Pulchok, Tilagufa Municipality-1",,nepal_police,Flood,2022-10-09,Karnali,Kalikot,Tilagufa,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-09,"Tilagufa, Kalikot, Nepal",29.146120000000053,81.85448000000008
Yes,"Landslide at Dauke, Pachaljharana Rural Municipality-3",,nepal_police,Landslide,2022-10-09,Karnali,Kalikot,Pachaljharana,3,,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-09,"Pachaljharana, Kalikot, Nepal",29.260510000000068,81.72308000000004
Yes,"Landslide at Pallobali, Tilagufa Municipality-7",,nepal_police,Landslide,2022-10-09,Karnali,Kalikot,Tilagufa,7,,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2022-10-09,"Tilagufa, Kalikot, Nepal",29.146120000000053,81.85448000000008
Yes,"Landslide at Rachuli, Tilagufa Municipality-4",,nepal_police,Landslide,2022-10-09,Karnali,Kalikot,Tilagufa,4,,0,0,0,0,0,0,1,1,0,0,0,12,0,0,12,0,5,5,0,0,0,2022-10-09,"Tilagufa, Kalikot, Nepal",29.146120000000053,81.85448000000008
Yes,"Landslide at Melchham, Chankheli Rural Municipality-6",,nepal_police,Landslide,2022-10-09,Karnali,Humla,Chankheli,6,,0,0,29,29,17,0,4,0,4,0,0,0,0,0,0,0,5,2,3,0,0,2022-10-09,"Chankheli, Humla, Nepal",29.855810000000076,82.23629000000005
Yes,"Landslide at Bagthala, Kedarseu Rural Municipality-4",,nepal_police,Landslide,2022-10-09,Sudurpashchim,Bajhang,Kedarseu,4,,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-09,"Kedarseu, Bajhang, Nepal",29.51347000000004,80.93567000000007
Yes,"Landslide at Bhaisegoda, Tilagufa Municipality-5",,nepal_police,Landslide,2022-10-09,Karnali,Kalikot,Tilagufa,5,,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-09,"Tilagufa, Kalikot, Nepal",29.146120000000053,81.85448000000008
Yes,"Landslide at Madan, Tanjakot Rural Municipality-5",,nepal_police,Landslide,2022-10-09,Karnali,Humla,Tanjakot,5,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2022-10-09,"Tanjakot, Humla, Nepal",29.705350000000067,81.75130000000007
Yes,"Landslide at Nuwaghar, Pachaljharana Rural Municipality-7",,nepal_police,Landslide,2022-10-09,Karnali,Kalikot,Pachaljharana,7,,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,2022-10-09,"Pachaljharana, Kalikot, Nepal",29.260510000000068,81.72308000000004
Yes,"Landslide at Ratada, Tilagufa Municipality-2",,nepal_police,Landslide,2022-10-08,Karnali,Kalikot,Tilagufa,2,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-08,"Tilagufa, Kalikot, Nepal",29.146120000000053,81.85448000000008
Yes,Flood at Hima Rural Municipality-3,,other,Flood,2022-10-08,Karnali,Jumla,Hima,3,,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2022-10-08,"Hima, Jumla, Nepal",29.26973000000004,81.92985000000004
Yes,"Landslide at Marke, Sharada Municipality-8",,nepal_police,Landslide,2022-10-08,Karnali,Salyan,Sharada,8,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-08,"Sharada, Salyan, Nepal",28.389170000000036,82.14556000000005
Yes,"Landslide at Barekot danda, Kanakasundari Rural Municipality-3",,nepal_police,Landslide,2022-10-08,Karnali,Jumla,Kanakasundari,3,,0,0,316,316,726,0,7,5,2,0,0,0,0,0,0,0,2,1,1,0,0,2022-10-08,"Kanakasundari, Jumla, Nepal",29.41384000000005,82.05030000000005
Yes,"Landslide at Pharinde, Mandavi Rural Municipality-4",,nepal_police,Landslide,2022-10-08,Lumbini,Pyuthan,Mandavi,4,,0,0,1,1,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-08,"Mandavi, Pyuthan, Nepal",28.047340000000077,82.77364000000006
Yes,"Landslide at Mahakharka, Nisikhola Rural Municipality-1",,nepal_police,Landslide,2022-10-08,Gandaki,Baglung,Nisikhola,1,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-08,"Nisikhola, Baglung, Nepal",28.37636000000003,83.02216000000004
Yes,Landslide at Madi Rural Municipality-3,,nepal_police,Landslide,2022-10-07,Lumbini,Rolpa,Madi,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2022-10-07,"Madi, Rolpa, Nepal",28.402390000000025,82.50796000000008
Yes,"Landslide at Rathma, Shiwalaya Rural Municipality-3",,nepal_police,Landslide,2022-10-07,Karnali,Jajarkot,Shiwalaya,3,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Shiwalaya, Jajarkot, Nepal",28.688570000000027,81.93365000000006
Yes,"Landslide at Salam, Kapurkot Rural Municipality-3",,nepal_police,Landslide,2022-10-07,Karnali,Salyan,Kapurkot,3,,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Kapurkot, Salyan, Nepal",28.24885000000006,82.36148000000009
Yes,"Landslide at Byureni, Birendranagar Municipality-11",,nepal_police,Landslide,2022-10-07,Karnali,Surkhet,Birendranagar,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2022-10-07,"Birendranagar, Surkhet, Nepal",28.596690000000024,81.61658000000006
Yes,"Landslide at Chautara, Badigad Rural Municipality-7",,nepal_police,Landslide,2022-10-07,Gandaki,Baglung,Badigad,7,20000.0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Badigad, Baglung, Nepal",28.26792000000006,83.25370000000004
Yes,"Landslide at Syaule, Naubahini Rural Municipality-7",,nepal_police,Landslide,2022-10-07,Lumbini,Pyuthan,Naubahini,7,,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Naubahini, Pyuthan, Nepal",28.253160000000037,82.91058000000004
Yes,"Landslide at Dhungepani, Tribeni Rural Municipality-6",,nepal_police,Landslide,2022-10-07,Karnali,Rukum West,Tribeni,6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Tribeni, Rukum West, Nepal",28.56905000000006,82.42802000000006
Yes,"Landslide at Jagat, Panini Rural Municipality-7",,nepal_police,Landslide,2022-10-07,Lumbini,Arghakhanchi,Panini,7,,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Panini, Arghakhanchi, Nepal",27.884160000000065,83.25291000000004
Yes,"Flood at Badachaur, Mandavi Rural Municipality-1",,nepal_police,Flood,2022-10-07,Lumbini,Pyuthan,Mandavi,1,1096000.0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Mandavi, Pyuthan, Nepal",28.047340000000077,82.77364000000006
Yes,Landslide at Banglachuli Rural Municipality-4,,nepal_police,Landslide,2022-10-07,Lumbini,Dang,Banglachuli,4,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Banglachuli, Dang, Nepal",27.99384000000003,82.67143000000004
Yes,"Landslide at Chidis, Tinau Rural Municipality-6",,nepal_police,Landslide,2022-10-07,Lumbini,Palpa,Tinau,6,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2022-10-07,"Tinau, Palpa, Nepal",27.76465000000007,83.47024000000005
Yes,Landslide at Myagde Rural Municipality-1,,nepal_police,Landslide,2022-10-07,Gandaki,Tanahu,Myagde,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Myagde, Tanahu, Nepal",28.007160000000056,84.15608000000003
Yes,"Landslide at Budhichaur, Sarumarani Rural Municipality-6",,nepal_police,Landslide,2022-10-07,Lumbini,Pyuthan,Sarumarani,6,,0,0,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Sarumarani, Pyuthan, Nepal",27.945050000000037,82.83908000000008
Yes,Landslide at Aathbiskot Municipality-10,,nepal_police,Landslide,2022-10-07,Karnali,Rukum West,Aathbiskot,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2022-10-07,"Aathbiskot, Rukum West, Nepal",28.84600000000006,82.52065000000005
Yes,"Landslide at Kapti, Barekot Rural Municipality-9",,nepal_police,Landslide,2022-10-07,Karnali,Jajarkot,Barekot,9,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Barekot, Jajarkot, Nepal",28.96303000000006,82.25361000000004
Yes,"Flood at Armala, Nisdi Rural Municipality-1",,other,Flood,2022-10-07,Lumbini,Palpa,Nisdi,1,,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Nisdi, Palpa, Nepal",27.785150000000044,83.90900000000005
Yes,"Landslide at Naulapani, Sandhikharka Municipality-9",,nepal_police,Landslide,2022-10-07,Lumbini,Arghakhanchi,Sandhikharka,9,,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Sandhikharka, Arghakhanchi, Nepal",27.965960000000052,83.15486000000004
Yes,"Landslide at Dyan kendra, Chandragiri Municipality-2",,nepal_police,Landslide,2022-10-07,Bagmati,Kathmandu,Chandragiri,2,,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-07,"Chandragiri, Kathmandu, Nepal",27.686960000000056,85.23522000000008
Yes,"Landslide at Bhalkotbari, Nisikhola Rural Municipality-6",,nepal_police,Landslide,2022-10-06,Gandaki,Baglung,Nisikhola,6,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Nisikhola, Baglung, Nepal",28.37636000000003,83.02216000000004
Yes,"Landslide at Ghartigaun, Madi Rural Municipality-2",,nepal_police,Landslide,2022-10-06,Lumbini,Rolpa,Madi,2,2000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Madi, Rolpa, Nepal",28.402390000000025,82.50796000000008
Yes,"Flood at Dolabhanjing, Thakre Rural Municipality-3",,other,Flood,2022-10-06,Bagmati,Dhading,Thakre,3,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2022-10-06,"Thakre, Dhading, Nepal",27.73944000000006,85.07190000000008
Yes,"Flood at Jhiwang, Airawati Rural Municipality-5",,nepal_police,Flood,2022-10-06,Lumbini,Pyuthan,Airawati,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2022-10-06,"Airawati, Pyuthan, Nepal",27.990350000000035,82.91276000000005
Yes,"Landslide at Magini, Raksirang Rural Municipality-5",,nepal_police,Landslide,2022-10-06,Bagmati,Makwanpur,Raksirang,5,,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Raksirang, Makwanpur, Nepal",27.59758000000005,84.85797000000008
Yes,"Landslide at Khar, Chum Nubri Rural Municipality-6",,nepal_police,Landslide,2022-10-06,Gandaki,Gorkha,Chum Nubri,6,,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,2022-10-06,"Chum Nubri, Gorkha, Nepal",28.54200000000003,84.87538000000006
Yes,"Landslide at Sakindhara, Malarani Rural Municipality-6",,nepal_police,Landslide,2022-10-06,Lumbini,Arghakhanchi,Malarani,6,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Malarani, Arghakhanchi, Nepal",28.06702000000007,83.07274000000007
Yes,"Landslide at Kolbot, Airawati Rural Municipality-1",,nepal_police,Landslide,2022-10-06,Lumbini,Pyuthan,Airawati,1,550000.0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Airawati, Pyuthan, Nepal",27.990350000000035,82.91276000000005
Yes,"Landslide at bathakot, Sani Bheri Rural Municipality-6",,nepal_police,Landslide,2022-10-06,Karnali,Rukum West,Sani Bheri,6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Sani Bheri, Rukum West, Nepal",28.691980000000058,82.28000000000003
Yes,"Landslide at Khatripauwa, Dhunibesi Municipality-9",,other,Landslide,2022-10-06,Bagmati,Dhading,Dhunibesi,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Dhunibesi, Dhading, Nepal",27.722830000000044,85.17161000000004
Yes,"Landslide at Chhapagaun, Dhunibesi Municipality-4",,nepal_police,Landslide,2022-10-06,Bagmati,Dhading,Dhunibesi,4,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Dhunibesi, Dhading, Nepal",27.722830000000044,85.17161000000004
Yes,"Flood at Sherpakhola, Nisikhola Rural Municipality-5",,nepal_police,Flood,2022-10-06,Gandaki,Baglung,Nisikhola,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Nisikhola, Baglung, Nepal",28.37636000000003,83.02216000000004
Yes,Landslide at Gosaikunda Rural Municipality-3,,nepal_police,Landslide,2022-10-06,Bagmati,Rasuwa,Gosaikunda,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Gosaikunda, Rasuwa, Nepal",28.083330000000046,85.42667000000006
Yes,"Landslide at Jiula, Chhatreshwori Rural Municipality-1",,nepal_police,Landslide,2022-10-06,Karnali,Salyan,Chhatreshwori,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-06,"Chhatreshwori, Salyan, Nepal",28.35770000000008,82.30807000000004
Yes,Flood at Sandhikharka Municipality-7,,nepal_police,Flood,2022-10-06,Lumbini,Arghakhanchi,Sandhikharka,7,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2022-10-06,"Sandhikharka, Arghakhanchi, Nepal",27.965960000000052,83.15486000000004
Yes,"Flood at  Raitole, Hetauda Submetropolitan City-3",,nepal_police,Flood,2022-10-05,Bagmati,Makwanpur,Hetauda,3,250000.0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-05,"Hetauda, Makwanpur, Nepal",27.428390000000036,85.03219000000007
Yes,"Landslide at kILU, Annapurna Rural Municipality-10",,nepal_police,Landslide,2022-10-05,Gandaki,Kaski,Annapurna,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-05,"Annapurna, Kaski, Nepal",28.545930000000055,83.92078000000004
Yes,"Landslide at Dhad, Naubahini Rural Municipality-6",,nepal_police,Landslide,2022-10-05,Lumbini,Pyuthan,Naubahini,6,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-05,"Naubahini, Pyuthan, Nepal",28.253160000000037,82.91058000000004
Yes,"Landslide at takura, Pyuthan Municipality-10",,nepal_police,Landslide,2022-10-05,Lumbini,Pyuthan,Pyuthan,10,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-05,"Pyuthan, Pyuthan, Nepal",28.0999165,82.8828583
Yes,"Landslide at Charaghsareni, Bagchaur Municipality-9",,nepal_police,Landslide,2022-10-05,Karnali,Salyan,Bagchaur,9,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-05,"Bagchaur, Salyan, Nepal",28.47168000000005,82.32016000000004
Yes,"Landslide at Bhutbajar, Bhotekoshi Rural Municipality-2",,nepal_police,Landslide,2022-10-05,Bagmati,Sindhupalchok,Bhotekoshi,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-05,"Bhotekoshi, Sindhupalchok, Nepal",27.93172000000004,85.90808000000004
Yes,"Landslide at Satranumbar, Barah Municipality-1",,nepal_police,Landslide,2022-09-29,Koshi,Sunsari,Barah,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-29,"Barah, Sunsari, Nepal",26.75279000000006,87.15755000000007
Yes,"Landslide at Malachaur, Aathabis Municipality-5",,nepal_police,Landslide,2022-09-26,Karnali,Dailekh,Aathabis,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-26,"Aathabis, Dailekh, Nepal",28.844340000000045,81.71011000000004
Yes,Landslide at Pathibhara Yangwarak Rural Municipality-1,,nepal_police,Landslide,2022-09-26,Koshi,Taplejung,Pathibhara Yangwarak,1,,0,0,100,100,44,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2022-09-26,"Pathibhara Yangwarak, Taplejung, Nepal",27.325140000000033,87.73428000000007
Yes,"Landslide at Badiya, Dogadakedar Rural Municipality-2",,nepal_police,Landslide,2022-09-25,Sudurpashchim,Baitadi,Dogadakedar,2,,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-25,"Dogadakedar, Baitadi, Nepal",29.59137000000004,80.52900000000005
Yes,"Landslide at kunaute, Raghuganga Rural Municipality-2",,nepal_police,Landslide,2022-09-25,Gandaki,Myagdi,Raghuganga,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-25,"Raghuganga, Myagdi, Nepal",28.535030000000063,83.51666000000006
